Year,Q1,Q2,Q3
1904,12.71,15.49,18.39
1905,10.26,12.90,14.77
1906,9.99,14.36,18.55
1907,7.74,11.93,15.06
1908,5.97,10.36,12.57
1909,5.76,9.29,12.04
1910,6.19,10.44,14.16
1911,2.10,5.96,8.55
1912,5.06,7.14,11.42
1913,21.59,27.18,31.03
1914,18.34,20.18,22.82
1915,17.23,20.33,22.45
1916,12.86,15.83,18.59
1917,10.28,14.41,18.16
1918,7.76,12.56,16.49
1919,6.11,10.02,14.57
1920,7.32,10.64,13.98
1921,4.00,7.62,10.31
1922,5.06,7.17,10.27
1923,5.21,15.60,25.68
1924,20.07,23.06,26.07
1925,16.30,19.56,22.70
1926,14.13,18.66,22.99
1927,9.90,13.91,17.15
1928,9.04,13.54,16.23
1929,6.40,8.69,12.68
1930,5.40,7.52,13.08
1931,5.46,7.26,10.29
1932,4.89,8.09,10.76
1933,8.54,10.54,14.29
1934,22.68,26.84,28.23
1935,19.61,23.20,27.69
1936,15.08,19.78,25.99
1937,11.02,17.44,22.79
1938,9.42,14.27,18.78
1939,8.76,12.87,15.95
1940,7.69,10.31,13.05
1941,5.35,10.78,13.16
1942,6.83,8.20,11.02
1943,4.48,9.05,13.71
1944,20.60,21.38,23.31
1945,17.36,21.07,25.43
1946,16.03,21.82,26.01
1947,11.51,15.90,20.31
1948,9.34,12.87,17.51
1949,7.77,12.58,18.35
1950,9.36,13.50,16.53
1951,8.12,11.39,13.89
1952,4.51,6.78,10.17
1953,6.87,10.82,12.21
1954,6.48,9.40,30.02
1955,20.38,23.29,28.17
1956,17.24,21.02,24.31
1957,13.93,19.29,24.77
1958,11.44,16.00,21.49
1959,9.50,14.13,18.36
1960,9.60,13.59,18.99
1961,5.68,8.91,14.01
1962,6.47,9.25,11.23
1963,8.34,10.82,12.74
1964,7.58,9.92,24.40
1965,15.32,21.11,23.94
1966,17.74,21.60,25.59
1967,16.07,20.45,23.56
1968,12.10,15.15,20.55
1969,9.69,12.83,16.83
1970,8.72,14.05,17.76
1971,6.13,10.58,13.71
1972,7.85,11.18,14.15
1973,7.10,10.88,13.55
1974,6.58,9.21,12.95
1975,4.93,6.49,9.06
1976,5.08,8.18,15.81
1977,15.23,20.01,23.89
1978,16.66,19.34,26.05
1979,12.72,17.08,23.48
1980,10.32,13.97,18.80
1981,8.36,12.20,16.76
1982,6.85,11.22,13.81
1983,8.09,13.16,17.13
1984,8.24,10.80,13.60
1985,4.52,6.05,9.32
1986,1.19,4.35,9.53
1987,21.80,26.83,29.48
1988,16.75,20.79,24.18
1989,15.17,18.83,25.41
1990,10.52,15.87,21.84
1991,9.95,15.96,22.07
1992,6.78,10.55,14.91
1993,5.92,9.31,14.47
1994,6.97,8.41,10.77
1995,8.33,10.25,13.44
1996,3.50,6.48,10.17
1997,19.56,21.06,26.92
1998,18.07,21.04,24.42
1999,13.67,18.28,22.00
2000,11.03,14.53,19.07
2001,9.37,14.90,19.34
2002,7.28,12.61,17.89
2003,6.59,11.43,15.32
2004,7.13,9.70,12.27
2005,6.49,8.94,12.40
2006,5.12,8.24,12.28
2007,3.59,5.55,8.30
2008,5.82,7.07,9.66
2009,24.52,28.81,30.97
2010,15.65,20.70,27.27
2011,13.18,17.08,22.10
2012,11.25,15.37,18.98
2013,8.87,12.72,17.93
2014,9.09,12.21,15.66
2015,9.02,12.77,16.10
2016,5.50,9.39,12.62
2017,7.29,10.62,12.32
